iso3,gdp_pc_pp,pop,urbanization_rate
AGO,7244.89305295156,36749906.0,0.68688
ALB,18244.29201007,2745972.0,0.64603
ARG,27104.9799978169,45538401.0,0.92463
ARM,19230.1899296884,2990900.0,0.63739
AUS,59552.8803336834,26658948.0,0.86617
AUT,65015.1345865741,9131761.0,0.5953
AZE,21262.2979971542,10153958.0,0.57577
BEL,64185.8467880223,11787423.0,0.9818899999999999
BEN,3721.2245272339,14111034.0,0.501
BFA,2482.07225343805,23025776.0,0.32520000000000004
BGD,8242.39798977242,171466990.0,0.40473
BGR,33403.3762176674,6446596.0,0.76701
BIH,20126.3804029322,3185073.0,0.50269
BLR,27718.3231175409,9178298.0,0.80731
BOL,9843.97014174079,12244159.0,0.71186
BRA,19018.2390697496,211140729.0,0.87788
BTN,14061.3120213689,786385.0,0.4435
BWA,18846.2504612042,2480244.0,0.72867
CAN,55918.9297008845,40097761.0,0.8186199999999999
CHE,82557.5501926632,8888093.0,0.74202
CHL,29462.6404846227,19658835.0,0.88012
CHN,22137.5998277466,1410710000.0,0.6456999999999999
CIV,6485.31584901747,31165654.0,0.53149
CMR,4870.57076514365,28372687.0,0.59315
COD,1455.8356229714,105789731.0,0.47444000000000003
COL,18692.3845274216,52321152.0,0.8235399999999999
COM,3498.80327064529,850387.0,0.30132000000000003
CPV,9288.4021703944,522331.0,0.67982
CRI,26292.7714760841,5105525.0,0.82622
CYP,53420.68359375,1344976.0,0.66987
CZE,49681.058065333,10864042.0,0.7455200000000001
DEU,63578.141098086,83280000.0,0.77765
DJI,6400.62016334753,1152944.0,0.7855200000000001
DNK,72097.3038273778,5946952.0,0.88495
DOM,23087.9343626862,11331265.0,0.84446
ECU,14472.3165053895,17980083.0,0.64792
EGY,16691.1332373374,114535772.0,0.431
ESP,47141.5410387803,48347910.0,0.81552
EST,42471.8236769525,1370286.0,0.6981
ETH,2755.45709577808,128691692.0,0.23157
FIN,57063.5249858264,5583911.0,0.85773
FJI,13652.4908672464,924145.0,0.58713
FRA,55441.1857994818,68287487.0,0.81777
FSM,3886.69657098366,112630.0,0.23379000000000003
GAB,18702.6905177984,2484789.0,0.9102899999999999
GBR,54542.016908202,68350000.0,0.84642
GEO,22590.5293543813,3715483.0,0.60727
GHA,6796.47361923819,33787914.0,0.59238
GIN,3949.34013510824,14405468.0,0.38085
GMB,2932.28059517915,2697845.0,0.64472
GNB,2578.80453427114,2153339.0,0.45466
GRC,36905.4535773689,10405588.0,0.8067300000000001
GRD,16946.473156154,117081.0,0.37059
GTM,12389.385871782,18124838.0,0.53098
HND,6468.30192068321,10644851.0,0.60212
HRV,41116.8704725701,3859686.0,0.58575
HTI,2956.46213701659,11637398.0,0.59656
HUN,40543.9936316007,9592186.0,0.7286400000000001
IDN,13889.8828825663,281190067.0,0.58572
IND,9160.06365370888,1438069596.0,0.36363999999999996
IRL,114922.392692015,5307600.0,0.6446599999999999
IRN,15912.0299184195,90608707.0,0.7725700000000001
IRQ,12711.0616746745,45074049.0,0.71599
ISL,67255.6720087402,393349.0,0.94042
ISR,48432.1096518058,9756600.0,0.92854
ITA,53312.0698662293,58993475.0,0.71973
JAM,10291.3126701479,2839786.0,0.57378
JOR,9362.58776056423,11439213.0,0.9201999999999999
JPN,46157.6360184941,124516650.0,0.9204300000000001
KAZ,34703.2349286604,20330104.0,0.58179
KEN,5682.98916248678,55339003.0,0.2952
KGZ,6403.14308780476,7099750.0,0.37801
KIR,3195.87039847415,132530.0,0.57762
KOR,50572.2499861828,51712619.0,0.8145600000000001
LAO,8372.15591874407,7664993.0,0.38247
LBN,11474.7505845558,5773493.0,0.89432
LBR,1616.92373356695,5493031.0,0.53567
LCA,23403.4617661837,179285.0,0.19172
LKA,13029.523937847,22037000.0,0.19210999999999998
LSO,2595.82952310453,2311472.0,0.30415
LTU,46740.4091948413,2871585.0,0.68694
LUX,132846.573735495,666430.0,0.92078
LVA,37007.3683672158,1877445.0,0.68671
MAR,8868.7119140625,37712505.0,0.65121
MDA,15855.2737421842,2457783.0,0.43372999999999995
MDV,22286.9801703571,525994.0,0.41970999999999997
MEX,22142.607281478,129739759.0,0.81582
MHL,6786.69569336005,38827.0,0.7886799999999999
MKD,23584.5648911173,1827816.0,0.59479
MLI,2394.67216396924,23769127.0,0.46189
MMR,5364.13797034407,54133798.0,0.32112
MNE,27869.6498306519,616177.0,0.68502
MNG,16222.8638898529,3481145.0,0.69089
MOZ,1511.63653474992,33635160.0,0.38753
MRT,6258.71091329181,5022441.0,0.57699
MUS,26590.4238819278,1261041.0,0.40867
MWI,1648.43651796379,21104482.0,0.18280000000000002
MYS,32812.2997525336,35126298.0,0.78716
NAM,10105.5147732431,2963095.0,0.54886
NER,1703.39693250647,26159867.0,0.17054
NGA,5593.05661448231,227882945.0,0.54283
NIC,7486.94276222499,6823613.0,0.59849
NLD,71446.6937440145,17877117.0,0.93179
NOR,90469.8111875037,5519594.0,0.8399500000000001
NPL,4859.80010436735,29694614.0,0.21902999999999997
NRU,12462.8412884717,11875.0,1.0
PAK,5439.18762006677,247504495.0,0.3804
PAN,35863.880148831,4458759.0,0.69512
PER,15294.2567811201,33845617.0,0.7892199999999999
PHL,9901.05652395692,114891199.0,0.48286999999999997
PNG,4174.44164016586,10389635.0,0.13723000000000002
POL,44384.168182283,36687353.0,0.60218
PRT,41755.4793151878,10578174.0,0.6790600000000001
PRY,15783.1150120746,6844146.0,0.63149
PSE,5313.09790291178,5165775.0,0.77582
QAT,116159.142559471,2656032.0,0.99354
ROU,40665.5282935973,19059479.0,0.54672
RUS,39753.45703125,143826130.0,0.75331
RWA,3060.02893126731,13954471.0,0.17892
SDN,2469.19458007813,50042791.0,0.36341999999999997
SEN,4317.2263915953,18077573.0,0.49579
SLB,2534.02756338361,800005.0,0.26037
SLE,3034.21894320278,8460512.0,0.44299999999999995
SLV,11404.3342262685,6309624.0,0.75393
SRB,26030.0209466926,6623183.0,0.57113
STP,5541.3016760535,230871.0,0.76401
SUR,19043.7052869285,628886.0,0.66411
SVK,39290.4325841628,5426740.0,0.54027
SVN,48243.9417459509,2120461.0,0.56088
SWE,63114.6797881276,10536632.0,0.88738
SWZ,10132.1872615949,1230506.0,0.24789999999999998
SYR,4454.85373271464,23594623.0,0.57409
TCD,1679.4615323912,19319064.0,0.24366
TGO,2767.51655834427,9304337.0,0.4449
THA,21142.6643331162,71702435.0,0.53608
TJK,4472.3241378777,10389799.0,0.28234000000000004
TLS,4328.50782017194,1384286.0,0.32456
TON,6901.73855566074,104597.0,0.2316
TUN,12552.9866903456,12200431.0,0.70544
TUR,34609.9155118999,85325965.0,0.7746299999999999
TZA,3620.79345703125,66617606.0,0.37409
UGA,2791.05576885861,48656601.0,0.26771
UKR,15885.2255859375,37732836.0,0.70095
URY,31019.3113912098,3388081.0,0.9577100000000001
USA,74577.5065396723,334914895.0,0.83298
UZB,10007.6855026198,35652307.0,0.50532
VNM,13491.879417397,100352192.0,0.3948
VUT,3118.39603259733,320409.0,0.25976
WSM,6304.34613688419,216663.0,0.17507999999999999
ZAF,13690.3894584515,63212384.0,0.6881900000000001
ZMB,3673.4841969922,20723965.0,0.46335
ZWE,3442.25132658294,16340822.0,0.32517
